Cidade;Ano;Mes;CodigoLocalidade;Localidade;Quantidade
SANTA MARIA;2024;7;36;NOVA SANTA MARTA;7
SANTA MARIA;2024;7;50;UGLIONE;1
SANTA MARIA;2024;7;46;SÃO JOÃO;1
SANTA MARIA;2024;7;2;BOI MORTO;2
SANTA MARIA;2024;7;4;CAMOBI;4
SANTA MARIA;2024;7;6;CAROLINA;1
SANTA MARIA;2024;7;7;CATURRITA;2
SANTA MARIA;2024;7;8;CENTRO;2
SANTA MARIA;2024;7;48;TANCREDO NEVES;1
SANTA MARIA;2024;7;48;TANCREDO NEVES;1
SANTA MARIA;2024;7;11;JOÃO LUIZ POZZOBON;1
SANTA MARIA;2024;7;11;JOÃO LUIZ POZZOBON;6
SANTA MARIA;2024;7;20;DIVINA PROVIDÊNCIA;6
SANTA MARIA;2024;7;20;DIVINA PROVIDÊNCIA;1
SANTA MARIA;2024;7;23;ITARARÉ;1
SANTA MARIA;2024;7;24;JUSCELINO KUBITSCHEK;1
SANTA MARIA;2024;7;24;JUSCELINO KUBITSCHEK;5
SANTA MARIA;2024;7;0;BAIRRO DESCONHECIDO;1
SANTA MARIA;2024;7;26;LORENZI;5
SANTA MARIA;2024;7;27;MENINO JESUS;1
SANTA MARIA;2024;7;28;NOAL;5
SANTA MARIA;2024;7;28;NOAL;3
SANTA MARIA;2024;7;32;NOSSA SENHORA DE LOURDES;1
SANTA MARIA;2024;7;34;NOSSA SENHORA DO ROSÁRIO;2
SANTA MARIA;2024;7;36;NOVA SANTA MARTA;8
SANTA MARIA;2024;7;41;PINHEIRO MACHADO;1
SANTA MARIA;2024;7;37;PASSO D'AREIA;2
SANTA MARIA;2024;7;37;PASSO D'AREIA;1
SANTA MARIA;2024;7;45;PASSO DAS TROPAS;2
SANTA MARIA;2024;7;0;BAIRRO DESCONHECIDO;1
SANTA MARIA;2024;7;39;PATRONATO;2
SANTA MARIA;2024;7;41;PINHEIRO MACHADO;6
SANTA MARIA;2024;7;36;NOVA SANTA MARTA;1
SANTA MARIA;2024;7;43;RENASCENÇA;1
SANTA MARIA;2024;7;44;SALGADO FILHO;3
SANTA MARIA;2024;7;0;BAIRRO DESCONHECIDO;1
SANTA MARIA;2024;7;48;TANCREDO NEVES;2
SANTA MARIA;2024;7;48;TANCREDO NEVES;2
SANTA MARIA;2024;7;48;TANCREDO NEVES;1
SANTA MARIA;2024;7;49;TOMAZZETTI;1
SANTA MARIA;2024;7;51;URLÂNDIA;3
SANTA MARIA;2024;7;24;JUSCELINO KUBITSCHEK;1
SANTA MARIA;2024;7;2;BOI MORTO;1
SANTA MARIA;2024;6;36;NOVA SANTA MARTA;23
SANTA MARIA;2024;6;28;NOAL;2
SANTA MARIA;2024;6;51;URLÂNDIA;2
SANTA MARIA;2024;6;2;BOI MORTO;9
SANTA MARIA;2024;6;2;BOI MORTO;1
SANTA MARIA;2024;6;3;BONFIM;2
